long,lat,group,party,over_under
1235307.64869652,-1104388.9100232201,1009.1,R,U
1238103.14606952,-1094739.81207773,1009.1,R,U
1243981.74301234,-1093005.20490227,1009.1,R,U
1260133.17698202,-1108403.86889123,1009.1,R,U
1258440.02525527,-1115268.4290608,1009.1,R,U
1256602.43698379,-1126895.40870099,1009.1,R,U
1260658.27093879,-1126193.14572541,1009.1,R,U
1259726.85978864,-1132783.21521116,1009.1,R,U
1254979.03141536,-1138838.14432255,1009.1,R,U
1239835.0269736,-1145086.52277326,1009.1,R,U
1240382.55760404,-1149118.91179369,1009.1,R,U
1234089.31569075,-1149256.87236398,1009.1,R,U
1222626.02391875,-1143478.52226737,1009.1,R,U
1211180.93793421,-1144976.25189794,1009.1,R,U
1205229.71122126,-1149039.91711165,1009.1,R,U
1203691.39319003,-1144458.82041147,1009.1,R,U
1317624.35631692,-1306750.96224058,1011.1,D,U
1318450.76360081,-1304164.98088512,1011.1,D,U
1324676.73713996,-1302900.82767694,1011.1,D,U
1326583.90315033,-1302514.79133553,1011.1,D,U
1326113.11527489,-1299188.19882259,1011.1,D,U
1331224.45754746,-1306572.68052994,1011.1,D,U
1370497.99287259,-1299597.20305924,1011.1,D,U
1372519.15124176,-1309158.45685424,1011.1,D,U
1374118.23645391,-1308871.1200493,1011.1,D,U
1374590.41408418,-1323603.00380165,1011.1,D,U
1360064.64532332,-1328071.99214477,1011.1,D,U
1355398.29313798,-1342025.41186591,1011.1,D,U
1342934.57285074,-1344118.87881284,1011.1,D,U
1341635.84931827,-1334573.62036466,1011.1,D,U
1332831.50219502,-1336047.56194757,1011.1,D,U
1330687.29558182,-1327407.00011912,1011.1,D,U
1325544.9948249,-1326629.69749752,1011.1,D,U
1321000.42054408,-1328601.03683707,1011.1,D,U
1319472.84229174,-1318682.42696704,1011.1,D,U
1317624.35631692,-1306750.96224058,1011.1,D,U
1237129.62840706,-1352042.22521683,1013.1,R,U
1241928.98399539,-1351244.48038537,1013.1,R,U
1280187.86181615,-1344943.54021989,1013.1,R,U
1284858.96230209,-1378857.90158329,1013.1,R,U
1280087.62718046,-1379659.99866271,1013.1,R,U
1282083.85642921,-1393909.31688649,1013.1,R,U
1263079.16534131,-1397063.16427865,1013.1,R,U
1250103.37782007,-1398924.82086096,1013.1,R,U
1242178.98920524,-1388127.87554994,1013.1,R,U
1240490.81818433,-1374903.04267947,1013.1,R,U
1239254.14248225,-1366399.58283627,1013.1,R,U
1237129.62840706,-1352042.22521683,1013.1,R,U
1281286.14999545,-1152170.99737945,1015.1,R,U
1289205.98949517,-1141353.47137025,1015.1,R,U
1285987.76974609,-1133044.03055313,1015.1,R,U
1293574.57041063,-1123631.5469896,1015.1,R,U
1304081.55112128,-1117062.68032048,1015.1,R,U
1314028.17045653,-1117849.30726017,1015.1,R,U
1313658.26163422,-1114177.82554041,1015.1,R,U
1331766.46295718,-1112395.01689592,1015.1,R,U
1333127.88547121,-1113884.91203125,1015.1,R,U
1326109.8286336,-1134027.60658856,1015.1,R,U
1326924.08752668,-1150350.03249396,1015.1,R,U
1315268.14282629,-1160319.62291935,1015.1,R,U
1314921.89580889,-1157075.07822285,1015.1,R,U
1296567.13024674,-1160055.96306899,1015.1,R,U
1290038.49417363,-1151229.09490923,1015.1,R,U
1281286.14999545,-1152170.99737945,1015.1,R,U
1341299.74968787,-1206414.32422825,1017.1,R,U
1374464.08631288,-1200576.64503473,1017.1,R,U
1374464.15912162,-1200576.86814894,1017.1,R,U
1382767.80689278,-1225920.81605701,1017.1,R,U
1383075.82445504,-1226860.25221292,1017.1,R,U
1385825.24816311,-1230278.31535013,1017.1,R,U
1390462.05333842,-1237912.99467399,1017.1,R,U
1375993.83840241,-1242809.8180992,1017.1,R,U
1349111.99526756,-1246828.25736158,1017.1,R,U
1347558.68175834,-1247973.59094907,1017.1,R,U
1341299.74968787,-1206414.32422825,1017.1,R,U
1299542.76734134,-1085472.94620076,1019.1,R,U
1305619.97626902,-1082809.31322553,1019.1,R,U
1316614.29297323,-1065512.68297192,1019.1,R,U
1320985.11612531,-1052773.12667986,1019.1,R,U
1324794.23432486,-1049668.01163066,1019.1,R,U
1326592.40693579,-1054928.19897089,1019.1,R,U
